week,away_team,home_team,season,season_type,game_id,kickoff_utc,kickoff_et,kickoff_pt,home_abbr,away_abbr,venue,city,state_or_country,network,international,neutral_site,divisional,conference,game_label,notes
1,Atlanta Falcons,Minnesota,2025,REG,2025W01-ATL@Minnesota,,TBD,,,ATL,,,,8:20P NBC,,,,,,
1,Buffalo Bills,New,2025,REG,2025W01-BUF@New,,TBD,,,BUF,,,,1:00P CBS,,,,,,
1,Carolina Panthers,Arizona,2025,REG,2025W01-CAR@Arizona,,TBD,,,CAR,,,,4:05P CBS,,,,,,
1,Chicago Bears,Detroit,2025,REG,2025W01-CHI@Detroit,,TBD,,,CHI,,,,1:00P FOX,,,,,,
1,Cleveland Browns,Baltimore,2025,REG,2025W01-CLE@Baltimore,,TBD,,,CLE,,,,1:00P CBS,,,,,,
1,Denver Broncos,Indianapolis,2025,REG,2025W01-DEN@Indianapolis,,TBD,,,DEN,,,,4:05P CBS,,,,,,
1,Jacksonville Jaguars,Cincinnati,2025,REG,2025W01-JAX@Cincinnati,,TBD,,,JAX,,,,1:00P CBS,,,,,,
1,Los Angeles Rams,Tennessee,2025,REG,2025W01-LAR@Tennessee,,TBD,,,LAR,,,,1:00P CBS,,,,,,
1,New England Patriots,Miami,2025,REG,2025W01-NE@Miami,,TBD,,,NE,,,,1:00P CBS,,,,,,
1,New York Giants,Dallas,2025,REG,2025W01-NYG@Dallas,,TBD,,,NYG,,,,1:00P FOX,,,,,,
1,Philadelphia Eagles,Kansas,2025,REG,2025W01-PHI@Kansas,,TBD,,,PHI,,,,4:25P FOX,,,,,,
1,Seattle Seahawks,Pittsburgh,2025,REG,2025W01-SEA@Pittsburgh,,TBD,,,SEA,,,,1:00P FOX,,,,,,
1,San Francisco 49ers,New,2025,REG,2025W01-SF@New,,TBD,,,SF,,,,1:00P FOX,,,,,,
1,Tampa Bay Buccaneers,Houston,2025,REG,2025W01-TB@Houston,,TBD,,,TB,,,,7:00P ABC,,,,,,
1,Washington Commanders,Green,2025,REG,2025W01-WAS@Green,,TBD,,,WAS,,,,PRIME VIDEO,,,,,,
2,Arizona Cardinals,San,2025,REG,2025W02-ARI@San,,TBD,,,ARI,,,,4:25P FOX,,,,,,
2,Atlanta Falcons,Carolina,2025,REG,2025W02-ATL@Carolina,,TBD,,,ATL,,,,1:00P FOX,,,,,,
2,Cincinnati Bengals,Minnesota,2025,REG,2025W02-CIN@Minnesota,,TBD,,,CIN,,,,1:00P CBS,,,,,,
2,Dallas Cowboys,Chicago,2025,REG,2025W02-DAL@Chicago,,TBD,,,DAL,,,,4:25P FOX,,,,,,
2,Denver Broncos,Los,2025,REG,2025W02-DEN@Los,,TBD,,,DEN,,,,4:05P CBS,,,,,,
2,Green Bay Packers,Cleveland,2025,REG,2025W02-GB@Cleveland,,TBD,,,GB,,,,1:00P FOX,,,,,,
2,Houston Texans,Jacksonville,2025,REG,2025W02-HOU@Jacksonville,,TBD,,,HOU,,,,1:00P CBS,,,,,,
2,Indianapolis Colts,Tennessee,2025,REG,2025W02-IND@Tennessee,,TBD,,,IND,,,,1:00P CBS,,,,,,
2,Kansas City Chiefs,New,2025,REG,2025W02-KC@New,,TBD,,,KC,,,,8:20P NBC,,,,,,
2,Los Angeles Rams,Philadelphia,2025,REG,2025W02-LAR@Philadelphia,,TBD,,,LAR,,,,1:00P FOX,,,,,,
2,Las Vegas Raiders,Washington,2025,REG,2025W02-LV@Washington,,TBD,,,LV,,,,1:00P FOX,,,,,,
2,Miami Dolphins,Buffalo,2025,REG,2025W02-MIA@Buffalo,,TBD,,,MIA,,,,PRIME VIDEO,,,,,,
2,New Orleans Saints,Seattle,2025,REG,2025W02-NO@Seattle,,TBD,,,NO,,,,4:05P CBS,,,,,,
2,New York Jets,Tampa,2025,REG,2025W02-NYJ@Tampa,,TBD,,,NYJ,,,,1:00P FOX,,,,,,
2,Pittsburgh Steelers,New,2025,REG,2025W02-PIT@New,,TBD,,,PIT,,,,1:00P CBS,,,,,,
3,Baltimore Ravens,Kansas,2025,REG,2025W03-BAL@Kansas,,TBD,,,BAL,,,,4:25P CBS,,,,,,
3,Carolina Panthers,New,2025,REG,2025W03-CAR@New,,TBD,,,CAR,,,,1:00P FOX,,,,,,
3,Chicago Bears,Las,2025,REG,2025W03-CHI@Las,,TBD,,,CHI,,,,4:25P CBS,,,,,,
3,Cleveland Browns,Detroit,2025,REG,2025W03-CLE@Detroit,,TBD,,,CLE,,,,1:00P FOX,,,,,,
3,Green Bay Packers,Dallas,2025,REG,2025W03-GB@Dallas,,TBD,,,GB,,,,8:20P NBC,,,,,,
3,Indianapolis Colts,Los,2025,REG,2025W03-IND@Los,,TBD,,,IND,,,,4:05P FOX,,,,,,
3,Jacksonville Jaguars,San,2025,REG,2025W03-JAX@San,,TBD,,,JAX,,,,4:05P FOX,,,,,,
3,Los Angeles Chargers,New,2025,REG,2025W03-LAC@New,,TBD,,,LAC,,,,1:00P CBS,,,,,,
3,Minnesota Vikings,Pittsburgh,2025,REG,2025W03-MIN@Pittsburgh,,TBD,,,MIN,,,,9:30A NFLN,,True,,,,
3,New Orleans Saints,Buffalo,2025,REG,2025W03-NO@Buffalo,,TBD,,,NO,,,,1:00P CBS,,,,,,
3,New York Jets,Miami,2025,REG,2025W03-NYJ@Miami,,TBD,,,NYJ,,,,TBD,,,,,,
3,Philadelphia Eagles,Tampa,2025,REG,2025W03-PHI@Tampa,,TBD,,,PHI,,,,1:00P FOX,,,,,,
3,Seattle Seahawks,Arizona,2025,REG,2025W03-SEA@Arizona,,TBD,,,SEA,,,,PRIME VIDEO,,,,,,
3,Tennessee Titans,Houston,2025,REG,2025W03-TEN@Houston,,TBD,,,TEN,,,,1:00P CBS,,,,,,
3,Washington Commanders,Atlanta,2025,REG,2025W03-WAS@Atlanta,,TBD,,,WAS,,,,1:00P CBS,,,,,,
4,Dallas Cowboys,New,2025,REG,2025W04-DAL@New,,TBD,,,DAL,,,,1:00P FOX,,,,,,
4,Denver Broncos,Philadelphia,2025,REG,2025W04-DEN@Philadelphia,,TBD,,,DEN,,,,1:00P CBS,,,,,,
4,Detroit Lions,Cincinnati,2025,REG,2025W04-DET@Cincinnati,,TBD,,,DET,,,,4:25P FOX,,,,,,
4,Houston Texans,Baltimore,2025,REG,2025W04-HOU@Baltimore,,TBD,,,HOU,,,,1:00P CBS,,,,,,
4,Kansas City Chiefs,Jacksonville,2025,REG,2025W04-KC@Jacksonville,,TBD,,,KC,,,,8:15P ESPN/ABC,,,,,,
4,Las Vegas Raiders,Indianapolis,2025,REG,2025W04-LV@Indianapolis,,TBD,,,LV,,,,1:00P FOX,,,,,,
4,Miami Dolphins,Carolina,2025,REG,2025W04-MIA@Carolina,,TBD,,,MIA,,,,1:00P FOX,,,,,,
4,Minnesota Vikings,Cleveland,2025,REG,2025W04-MIN@Cleveland,,TBD,,,MIN,,,,9:30A NFLN,,True,,,,
4,Minnesota Vikings,Pittsburgh Steelers,2025,REG,2025W04-MIN@PIT,,6:30 AM,,PIT,MIN,,,,NFLN,,,,,,
4,New England Patriots,Buffalo,2025,REG,2025W04-NE@Buffalo,,TBD,,,NE,,,,8:20P NBC,,,,,,
4,New York Giants,New,2025,REG,2025W04-NYG@New,,TBD,,,NYG,,,,1:00P CBS,,,,,,
4,Seattle Seahawks,Arizona Cardinals,2025,REG,2025W04-SEA@ARI,,5:15 PM,,ARI,SEA,,,,PRIME VIDEO,,,,,,
4,San Francisco 49ers,Los,2025,REG,2025W04-SF@Los,,TBD,,,SF,,,,PRIME VIDEO,,,,,,
4,Tampa Bay Buccaneers,Seattle,2025,REG,2025W04-TB@Seattle,,TBD,,,TB,,,,4:05P CBS,,,,,,
4,Tennessee Titans,Arizona,2025,REG,2025W04-TEN@Arizona,,TBD,,,TEN,,,,4:05P CBS,,,,,,
4,Washington Commanders,Los,2025,REG,2025W04-WAS@Los,,TBD,,,WAS,,,,4:25P FOX,,,,,,
5,Arizona Cardinals,Indianapolis,2025,REG,2025W05-ARI@Indianapolis,,TBD,,,ARI,,,,1:00P FOX,,,,,,
5,Buffalo Bills,Atlanta,2025,REG,2025W05-BUF@Atlanta,,TBD,,,BUF,,,,TBD,,,,,,
5,Chicago Bears,Washington,2025,REG,2025W05-CHI@Washington,,TBD,,,CHI,,,,8:15P ABC,,,,,,
5,Cincinnati Bengals,Green,2025,REG,2025W05-CIN@Green,,TBD,,,CIN,,,,4:25P CBS,,,,,,
5,Cleveland Browns,Pittsburgh,2025,REG,2025W05-CLE@Pittsburgh,,TBD,,,CLE,,,,1:00P CBS,,,,,,
5,Dallas Cowboys,Carolina,2025,REG,2025W05-DAL@Carolina,,TBD,,,DAL,,,,1:00P FOX,,,,,,
5,Denver Broncos,New,2025,REG,2025W05-DEN@New,,TBD,,,DEN,,,,9:30A NFLN,,True,,,,
5,Detroit Lions,Kansas,2025,REG,2025W05-DET@Kansas,,TBD,,,DET,,,,8:20P NBC,,,,,,
5,Los Angeles Chargers,Miami,2025,REG,2025W05-LAC@Miami,,TBD,,,LAC,,,,1:00P CBS,,,,,,
5,Los Angeles Rams,Baltimore,2025,REG,2025W05-LAR@Baltimore,,TBD,,,LAR,,,,1:00P FOX,,,,,,
5,New England Patriots,New,2025,REG,2025W05-NE@New,,TBD,,,NE,,,,4:25P CBS,,,,,,
5,Philadelphia Eagles,New,2025,REG,2025W05-PHI@New,,TBD,,,PHI,,,,PRIME VIDEO,,,,,,
5,Seattle Seahawks,Jacksonville,2025,REG,2025W05-SEA@Jacksonville,,TBD,,,SEA,,,,1:00P FOX,,,,,,
5,San Francisco 49ers,Tampa,2025,REG,2025W05-SF@Tampa,,TBD,,,SF,,,,1:00P CBS,,,,,,
5,Tennessee Titans,Las,2025,REG,2025W05-TEN@Las,,TBD,,,TEN,,,,4:05P FOX,,,,,,
6,Atlanta Falcons,San,2025,REG,2025W06-ATL@San,,TBD,,,ATL,,,,8:20P NBC,,,,,,
6,Carolina Panthers,New,2025,REG,2025W06-CAR@New,,TBD,,,CAR,,,,1:00P FOX,,,,,,
6,Green Bay Packers,Arizona,2025,REG,2025W06-GB@Arizona,,TBD,,,GB,,,,4:25P FOX,,,,,,
6,Houston Texans,Seattle,2025,REG,2025W06-HOU@Seattle,,TBD,,,HOU,,,,10:00P ESPN+,,,,,,
6,Indianapolis Colts,Los,2025,REG,2025W06-IND@Los,,TBD,,,IND,,,,4:05P CBS,,,,,,
6,Los Angeles Rams,Jacksonville,2025,REG,2025W06-LAR@Jacksonville,,TBD,,,LAR,,,,9:30A NFLN,,,,,,
6,Las Vegas Raiders,Kansas,2025,REG,2025W06-LV@Kansas,,TBD,,,LV,,,,1:00P CBS,,,,,,
6,Miami Dolphins,Cleveland,2025,REG,2025W06-MIA@Cleveland,,TBD,,,MIA,,,,1:00P CBS,,,,,,
6,New England Patriots,Tennessee,2025,REG,2025W06-NE@Tennessee,,TBD,,,NE,,,,1:00P CBS,,,,,,
6,New Orleans Saints,Chicago,2025,REG,2025W06-NO@Chicago,,TBD,,,NO,,,,1:00P FOX,,,,,,
6,New York Giants,Denver,2025,REG,2025W06-NYG@Denver,,TBD,,,NYG,,,,4:05P CBS,,,,,,
6,Philadelphia Eagles,Minnesota,2025,REG,2025W06-PHI@Minnesota,,TBD,,,PHI,,,,1:00P FOX,,,,,,
6,Pittsburgh Steelers,Cincinnati,2025,REG,2025W06-PIT@Cincinnati,,TBD,,,PIT,,,,PRIME VIDEO,,,,,,
6,Tampa Bay Buccaneers,Detroit,2025,REG,2025W06-TB@Detroit,,TBD,,,TB,,,,7:00P ESPN/ABC,,,,,,
6,Washington Commanders,Dallas,2025,REG,2025W06-WAS@Dallas,,TBD,,,WAS,,,,4:25P FOX,,,,,,
7,Buffalo Bills,Carolina,2025,REG,2025W07-BUF@Carolina,,TBD,,,BUF,,,,1:00P FOX,,,,,,
7,Chicago Bears,Baltimore,2025,REG,2025W07-CHI@Baltimore,,TBD,,,CHI,,,,1:00P CBS,,,,,,
7,Cleveland Browns,New,2025,REG,2025W07-CLE@New,,TBD,,,CLE,,,,1:00P FOX,,,,,,
7,Dallas Cowboys,Denver,2025,REG,2025W07-DAL@Denver,,TBD,,,DAL,,,,4:25P CBS,,,,,,
7,Green Bay Packers,Pittsburgh,2025,REG,2025W07-GB@Pittsburgh,,TBD,,,GB,,,,8:20P NBC,,,,,,
7,Los Angeles Rams,Jacksonville Jaguars,2025,REG,2025W07-LAR@JAX,,10:00 AM,,JAX,LAR,,,,FOX,,,,,,
7,Miami Dolphins,Atlanta,2025,REG,2025W07-MIA@Atlanta,,TBD,,,MIA,,,,1:00P CBS,,,,,,
7,Minnesota Vikings,Los,2025,REG,2025W07-MIN@Los,,TBD,,,MIN,,,,PRIME VIDEO,,,,,,
7,New Orleans Saints,Chicago Bears,2025,REG,2025W07-NO@CHI,,10:00 AM,,CHI,NO,,,,CBS,,,,,,
7,New York Giants,Philadelphia,2025,REG,2025W07-NYG@Philadelphia,,TBD,,,NYG,,,,1:00P FOX,,,,,,
7,New York Jets,Cincinnati,2025,REG,2025W07-NYJ@Cincinnati,,TBD,,,NYJ,,,,1:00P CBS,,,,,,
7,Pittsburgh Steelers,Cincinnati Bengals,2025,REG,2025W07-PIT@CIN,,5:15 PM,,CIN,PIT,,,,PRIME VIDEO,,,,,,
7,San Francisco 49ers,Houston,2025,REG,2025W07-SF@Houston,,TBD,,,SF,,,,1:00P FOX,,,,,,
7,Tampa Bay Buccaneers,New,2025,REG,2025W07-TB@New,,TBD,,,TB,,,,4:05P FOX,,,,,,
7,Tennessee Titans,Indianapolis,2025,REG,2025W07-TEN@Indianapolis,,TBD,,,TEN,,,,4:25P CBS,,,,,,
7,Washington Commanders,Kansas,2025,REG,2025W07-WAS@Kansas,,TBD,,,WAS,,,,8:15P ESPN/ABC,,,,,,
8,Arizona Cardinals,Dallas,2025,REG,2025W08-ARI@Dallas,,TBD,,,ARI,,,,8:15P ESPN/ABC,,,,,,
8,Atlanta Falcons,New,2025,REG,2025W08-ATL@New,,TBD,,,ATL,,,,1:00P CBS,,,,,,
8,Baltimore Ravens,Miami,2025,REG,2025W08-BAL@Miami,,TBD,,,BAL,,,,PRIME VIDEO,,,,,,
8,Carolina Panthers,Green,2025,REG,2025W08-CAR@Green,,TBD,,,CAR,,,,1:00P FOX,,,,,,
8,Chicago Bears,Cincinnati,2025,REG,2025W08-CHI@Cincinnati,,TBD,,,CHI,,,,1:00P CBS,,,,,,
8,Denver Broncos,Houston,2025,REG,2025W08-DEN@Houston,,TBD,,,DEN,,,,1:00P FOX,,,,,,
8,Indianapolis Colts,Pittsburgh,2025,REG,2025W08-IND@Pittsburgh,,TBD,,,IND,,,,1:00P CBS,,,,,,
8,Jacksonville Jaguars,Las,2025,REG,2025W08-JAX@Las,,TBD,,,JAX,,,,4:05P FOX,,,,,,
8,Kansas City Chiefs,Buffalo,2025,REG,2025W08-KC@Buffalo,,TBD,,,KC,,,,4:25P CBS,,,,,,
8,Los Angeles Chargers,Tennessee,2025,REG,2025W08-LAC@Tennessee,,TBD,,,LAC,,,,1:00P CBS,,,,,,
8,Minnesota Vikings,Detroit,2025,REG,2025W08-MIN@Detroit,,TBD,,,MIN,,,,1:00P FOX,,,,,,
8,Minnesota Vikings,Los Angeles Chargers,2025,REG,2025W08-MIN@LAC,,5:15 PM,,LAC,MIN,,,,PRIME VIDEO,,,,,,
8,New Orleans Saints,Los,2025,REG,2025W08-NO@Los,,TBD,,,NO,,,,4:05P FOX,,,,,,
8,Seattle Seahawks,Washington,2025,REG,2025W08-SEA@Washington,,TBD,,,SEA,,,,8:20P NBC,,,,,,
8,San Francisco 49ers,New,2025,REG,2025W08-SF@New,,TBD,,,SF,,,,1:00P CBS,,,,,,
9,Arizona Cardinals,Seattle,2025,REG,2025W09-ARI@Seattle,,TBD,,,ARI,,,,4:05P CBS,,,,,,
9,Atlanta Falcons,Indianapolis,2025,REG,2025W09-ATL@Indianapolis,,TBD,,,ATL,,,,9:30A NFLN,,True,,,,
9,Baltimore Ravens,Minnesota,2025,REG,2025W09-BAL@Minnesota,,TBD,,,BAL,,,,1:00P FOX,,,,,,
9,Buffalo Bills,Miami,2025,REG,2025W09-BUF@Miami,,TBD,,,BUF,,,,1:00P CBS,,,,,,
9,Cleveland Browns,New,2025,REG,2025W09-CLE@New,,TBD,,,CLE,,,,1:00P CBS,,,,,,
9,Detroit Lions,Washington,2025,REG,2025W09-DET@Washington,,TBD,,,DET,,,,4:25P FOX,,,,,,
9,Jacksonville Jaguars,Houston,2025,REG,2025W09-JAX@Houston,,TBD,,,JAX,,,,1:00P CBS,,,,,,
9,Los Angeles Rams,San,2025,REG,2025W09-LAR@San,,TBD,,,LAR,,,,4:25P FOX,,,,,,
9,Las Vegas Raiders,Denver,2025,REG,2025W09-LV@Denver,,TBD,,,LV,,,,PRIME VIDEO,,,,,,
9,New England Patriots,Tampa,2025,REG,2025W09-NE@Tampa,,TBD,,,NE,,,,1:00P CBS,,,,,,
9,New Orleans Saints,Carolina,2025,REG,2025W09-NO@Carolina,,TBD,,,NO,,,,1:00P FOX,,,,,,
9,New York Giants,Chicago,2025,REG,2025W09-NYG@Chicago,,TBD,,,NYG,,,,1:00P FOX,,,,,,
